mainstat,sex,marstat,national_summary_x1,national_summary_x3,national_summary,hatlevel,hatfield,ageclass,familytype_summary,region
7,2,2,,1,1,304,0,16,1,2
7,2,3,,1,1,304,0,15,9,1
1,1,2,,1,1,304,0,11,9,2
1,2,2,,1,1,600,700,7,2,1
1,1,2,,1,1,304,0,8,2,1
9,1,1,,1,1,999,9999,1,2,1
9,1,1,,1,1,999,9999,1,2,1
1,2,4,,4,4,,9999,9,9,1
4,1,3,,1,1,100,9999,17,9,2
1,1,1,,1,1,304,0,5,9,2
1,2,1,,1,1,304,0,6,9,2
1,2,2,,1,1,500,420,10,2,2
1,1,2,,1,1,304,0,11,2,2
9,2,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
7,2,2,,1,1,600,800,11,2,2
4,1,2,,1,1,400,500,11,2,2
1,1,1,,1,1,500,800,6,2,2
3,1,1,,1,1,304,0,5,2,2
1,1,2,,1,1,304,0,13,1,1
1,2,2,,1,1,304,0,13,1,1
4,2,2,,1,1,304,0,14,1,2
1,2,2,,1,1,200,9999,12,1,2
1,2,1,,1,1,100,9999,11,9,2
7,2,1,,1,1,400,800,5,3,2
9,1,1,,1,1,999,9999,1,3,2
1,2,1,,1,1,304,0,7,3,2
9,1,1,,1,1,999,9999,2,3,2
7,2,1,,1,1,600,300,6,2,1
1,1,1,,1,1,200,9999,7,2,1
9,2,1,,1,1,999,9999,2,2,1
9,1,1,,1,1,999,9999,1,2,1
1,1,4,,1,1,100,9999,13,9,2
1,2,2,,2,2,700,222,12,2,1
1,1,2,,1,1,,9999,11,2,1
3,1,1,,1,1,304,0,5,2,1
7,2,2,,1,1,304,0,9,2,1
1,1,2,,1,1,304,0,9,2,1
9,2,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,2,2,1
9,1,1,,1,1,999,9999,1,2,1
9,2,1,,1,1,999,9999,1,2,1
1,1,1,,4,4,700,222,8,9,2
1,1,1,,1,1,100,9999,11,9,2
